strategy_name,scenario,seed,implementation_shortfall_bps,execution_cost,market_impact_cost,total_transaction_fees,completion_rate,average_execution_price,arrival_price,vwap_slippage_bps,terminal_penalty,turnover,reward_total,action_0_pct,action_1_pct,action_2_pct,action_3_pct
TWAP,normal,1234,17.246673062510673,26189.16393718107,1107.0442591976057,50.0,1.0,152.67784487427303,152.4164532349012,10.547781037499988,0.0,15267784.487427302,,,,,
VWAP,normal,1234,17.431753083114337,26470.911225614764,1119.8067346765238,50.0,1.0,152.68066234715738,152.4164532349012,10.732495798934385,0.0,15268066.234715736,,,,,
POV,normal,1234,14.266151767746585,21691.23333487621,1469.6011752664383,50.0,1.0,152.63286556825,152.4164532349012,10.224717729474884,0.0,15263286.556825003,,,,,
DQN,normal,1234,16.001804612476867,24277.60129261712,1548.2666832990892,49.23908625157372,0.9847817250314742,152.65761464923307,152.4164532349012,9.230416475003837,1705.9308770998032,15034350.144712498,,,,,
Regime-Aware DQN,normal,1234,14.276631016895841,21684.7557997172,1689.487102853244,49.874394363596615,0.9974878872719322,152.6327429367467,152.4164532349012,7.585116366256931,65.18224075206744,15224839.80362409,,,,,
DQN (shuffled regime),normal,1234,14.605280341756146,22184.24137410589,1663.0792854902322,49.60025192667716,0.9920050385335433,152.63723339996403,152.4164532349012,7.879339572456032,187.45017659683012,15141438.648927659,,,,,
PPO,normal,1234,13.01655704863247,19819.45974181382,1692.1760389975102,49.99953155744227,0.999990631148845,152.61414800732035,152.4164532349012,6.340734194212563,0.1770248250435199,15261271.149570592,,,,,
Regime-Aware PPO,normal,1234,13.897515003963496,21144.171233539568,1514.9013025761437,49.86404698475334,0.9972809396950664,152.62755644246056,152.4164532349012,7.2280173787586595,44.9681914074722,15221345.077657027,,,,,
PPO (shuffled regime),normal,1234,14.192006474758756,21577.770439538934,1717.78382591006,49.99952849273772,0.9999905698547543,152.63173167675455,152.4164532349012,7.5098314862979345,0.1520887063211416,15263028.7570296,,,,,
TWAP,normal,7,4.160583955214013,6175.831196948868,1202.2738367624866,50.0,1.0,148.4063600354287,148.34510172345918,10.617609539521975,0.0,14840636.003542865,,,,,
VWAP,normal,7,3.973439966127398,5896.84473552433,1207.5028705553225,50.0,1.0,148.4035701708144,148.34510172345918,10.42994584517469,0.0,14840357.017081436,,,,,
POV,normal,7,5.08805523595534,7593.102553569846,1653.267284485891,50.0,1.0,148.42053274899487,148.34510172345918,10.152876785410196,0.0,14842053.274899486,,,,,
DQN,normal,7,3.52328630785438,5265.5139019311255,1718.1877330896873,49.485200138260126,0.9897040027652024,148.36767325563932,148.34510172345918,7.990365208929193,1636.2135469447683,14685609.391577791,,,,,
Regime-Aware DQN,normal,7,5.119838064871709,7642.48190773311,1814.9700582205892,49.91941169228826,0.9983882338457649,148.41877393108388,148.34510172345918,11.491103799813008,172.63845619089804,14818003.196707308,,,,,
DQN (shuffled regime),normal,7,6.3954539483393065,9532.61408468744,1685.435910677443,49.067120965409245,0.9813424193081847,148.35210969613837,148.34510172345918,6.928911986891774,4236.459209036203,14562766.861451915,,,,,
PPO,normal,7,6.0036904135591165,8961.405457820316,1936.86407248402,49.99997982481371,0.9999995964962739,148.43421564827742,148.34510172345918,12.548976259173099,0.015982550493376782,14843415.59560961,,,,,
Regime-Aware PPO,normal,7,4.858008406165016,7181.594875558551,1652.5131709762134,44.64551924262848,0.8929103848525696,143.48576284425673,148.34510172345918,10.093959941644975,2172.850331356994,13263900.45612186,,,,,
PPO (shuffled regime),normal,7,5.796812940115503,8653.173638412967,1854.2971266070815,49.90691352821707,0.9981382705643412,148.43104279867592,148.34510172345918,12.332887401374803,39.79785291054184,14815535.612620229,,,,,
TWAP,normal,777,8.093414887851528,11812.458477979277,729.2841862102052,50.0,1.0,145.62032084978867,145.50269626500886,10.959714612407653,0.0,14562032.084978867,,,,,
VWAP,normal,777,8.046575157560133,11743.37077740574,734.7401094033609,49.98810598881408,0.9997621197762816,145.61962391759303,145.50269626500886,10.912646288228366,7.154011067336279,14558484.468112005,,,,,
POV,normal,777,9.002406976886505,13146.496998926665,886.2040474501997,50.0,1.0,145.6336612349981,145.50269626500886,10.3372018365786,0.0,14563366.123499814,,,,,
DQN,normal,777,7.8515030876880925,11467.621200218955,1013.9214592497968,49.31732123855848,0.9863464247711692,145.61625671047597,145.50269626500886,10.680951636586189,273.39817797837776,14362556.899236213,,,,,
Regime-Aware DQN,normal,777,6.823624521781057,9958.619831990838,892.4624978954583,44.3298111504059,0.886596223008118,145.59536962623866,145.50269626500886,9.250282749250095,1834.418053234857,12905175.211670553,,,,,
DQN (shuffled regime),normal,777,8.299950408770677,12122.534970969078,1025.0977316098747,49.473289132709986,0.9894657826541997,145.62289693858673,145.50269626500886,11.135974715708148,186.74911769097508,14408823.895051353,,,,,
PPO,normal,777,8.078733768329988,11802.961235702733,983.3673694343134,49.587806510665665,0.9917561302133132,145.61976671853245,145.50269626500886,10.920058545535065,44.80829718004061,14441871.39878685,,,,,
Regime-Aware PPO,normal,777,8.83644829177461,12906.552720356143,972.693355224334,49.995249393687125,0.9999049878737425,145.63126055517023,145.50269626500886,11.710074265236248,1.6289594124741178,14561739.84353387,,,,,
PPO (shuffled regime),normal,777,8.882374730239615,12973.245446889008,969.3545747347835,49.99091135589344,0.9998182271178685,145.63191545334075,145.50269626500886,11.755231079969974,3.0388915018136426,14560537.815039607,,,,,
TWAP,high_volatility,1234,30.97693635604836,47767.0550767966,2828.395325225267,50.0,1.0,155.70362820123987,155.22645765047187,9.878425631040335,0.0,15570362.82012399,,,,,
VWAP,high_volatility,1234,31.351999551001217,48361.34863849671,2836.379702781226,50.0,1.0,155.70957113685685,155.22645765047187,10.253045185195305,0.0,15570957.113685686,,,,,
POV,high_volatility,1234,18.471155402122427,28589.99700666137,4419.703425130089,50.0,1.0,155.51185762053854,155.22645765047187,10.773263461566478,0.0,15551185.76205385,,,,,
DQN,high_volatility,1234,17.88770017653911,27646.929024343073,4875.274851985725,49.979093052454296,0.9995818610490855,155.5020291969034,155.22645765047187,-3.086909440812559,49.93219286017763,15543701.951150244,,,,,
Regime-Aware DQN,high_volatility,1234,20.128805089058098,31126.26926054704,4644.8795512654,49.98669161828464,0.9997338323656921,155.53704625819327,155.22645765047187,-0.8496623170404144,29.620733732791514,15549558.107346542,,,,,
DQN (shuffled regime),high_volatility,1234,18.20056685492941,28111.212033314187,4740.870903810896,49.97720443406412,0.9995440886812825,155.50697031803796,155.22645765047187,-2.754879282685474,20.99615588870613,15543612.956843998,,,,,
PPO,high_volatility,1234,15.914285667071221,24604.2023606528,4692.457504901129,49.979000814600234,0.9995800162920047,155.47175401988267,155.22645765047187,-5.009395723365485,34.744034228744354,15540650.760398673,,,,,
Regime-Aware PPO,high_volatility,1234,17.15477329579706,26539.091477228638,4525.053774596227,49.96066210270773,0.9992132420541548,155.49060593159825,155.22645765047187,-3.8148683366771636,101.18412396048703,15536828.958865946,,,,,
PPO (shuffled regime),high_volatility,1234,15.914285667071221,24604.2023606528,4692.457504901129,49.979000814600234,0.9995800162920047,155.47175401988267,155.22645765047187,-5.009395723365485,34.744034228744354,15540650.760398673,,,,,
TWAP,normal,99,5.066143392570086,7957.650779570427,865.0907177450193,50.0,1.0,156.58713911843475,156.5080626106391,10.222586106775928,0.0,15658713.911843475,,,,,
VWAP,normal,99,4.988305158984773,7837.565034134057,870.235105358245,50.0,1.0,156.5859382609804,156.5080626106391,10.146286246949733,0.0,15658593.826098043,,,,,
POV,normal,99,7.2294495468281195,11383.93429142131,1066.0469162550232,50.0,1.0,156.62140195355326,156.5080626106391,10.248364703477339,0.0,15662140.195355326,,,,,
DQN,normal,99,5.94993133636037,9370.531088582897,1185.8245909328346,47.851005731974155,0.9570201146394832,156.59348139734723,156.5080626106391,10.651331992062275,1387.8490546026699,14983777.517473632,,,,,
Regime-Aware DQN,normal,99,7.22441691949136,11343.512495290643,1204.1944246000558,49.92566633661261,0.9985133267322523,156.62034846057014,156.5080626106391,12.38934685865493,78.31638824336359,15638795.172106978,,,,,
