rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,DQN,TWAP,ALL,window,480,28.94399197647247,20.664975187209354,38.415187942639015,0.007019621740227112,0.49375,,,
RQ1,DQN,TWAP,ALL,seed,4,28.943991976472468,,,,0.0,4.0,10.00437412103573,0.0
RQ1,DQN,TWAP,high_volatility,window,80,24.653154356949067,10.04698325585161,42.300304325861816,0.006079244116806325,0.3625,,,
RQ1,DQN,TWAP,high_volatility,seed,4,24.65315435694907,,,,0.0,4.0,42.78346321169726,0.0
RQ1,DQN,TWAP,liquidity_shock,window,80,1.9965667578757327,-3.7166631988934276,9.086278419302245,0.06909580050679127,0.625,,,
RQ1,DQN,TWAP,liquidity_shock,seed,4,1.9965667578757325,,,,0.5,4.0,3.896012712478894,2.0
RQ1,DQN,TWAP,low_liquidity,window,80,-3.1196939194013646,-5.441321922763599,-0.6032807554807066,6.864952337215453e-05,0.7,,,
RQ1,DQN,TWAP,low_liquidity,seed,4,-3.1196939194013646,,,,1.0,4.0,2.1500220193249087,4.0
RQ1,DQN,TWAP,normal,window,80,-2.1249856985984943,-6.27424221254133,2.389824251838576,0.08684608859612548,0.6,,,
RQ1,DQN,TWAP,normal,seed,4,-2.124985698598494,,,,0.75,4.0,4.361378024129904,3.0
RQ1,DQN,TWAP,regime_transition,window,80,0.644509327101121,-6.318893887935664,7.84417225037028,0.9235795482276082,0.4875,,,
RQ1,DQN,TWAP,regime_transition,seed,4,0.6445093271011215,,,,0.25,4.0,9.259771978010905,1.0
RQ1,DQN,TWAP,stress,window,80,151.61440103490878,112.68900961015662,197.72978172330832,5.3333213798096747e-11,0.1875,,,
RQ1,DQN,TWAP,stress,seed,4,151.61440103490875,,,,0.0,4.0,42.634839441854936,0.0
RQ1,DQN,TWAP,TURBULENT,window,320,44.727157869208675,31.63529622948285,58.03136822747471,2.7176614229453346e-07,0.415625,,,
RQ1,DQN,TWAP,TURBULENT,seed,4,44.72715786920867,,,,0.0,4.0,13.893242088321447,0.0
RQ1,DQN,VWAP,ALL,window,480,28.934962427104445,20.69949779123084,38.31523688483098,0.00435166391079947,0.4875,,,
RQ1,DQN,VWAP,ALL,seed,4,28.934962427104445,,,,0.0,4.0,9.470401417528798,0.0
RQ1,DQN,VWAP,high_volatility,window,80,24.355299622297103,9.800604302528043,41.73670154102648,0.0043200958492575735,0.3625,,,
RQ1,DQN,VWAP,high_volatility,seed,4,24.355299622297103,,,,0.0,4.0,42.24051836342775,0.0
RQ1,DQN,VWAP,liquidity_shock,window,80,1.901212331640308,-3.6438190668347605,8.717675131412339,0.10294568958380562,0.5625,,,
RQ1,DQN,VWAP,liquidity_shock,seed,4,1.9012123316403082,,,,0.5,4.0,3.953607897220899,2.0
RQ1,DQN,VWAP,low_liquidity,window,80,-3.1466719303006725,-5.4537629271420345,-0.5809591406480359,6.593110662119658e-05,0.725,,,
RQ1,DQN,VWAP,low_liquidity,seed,4,-3.1466719303006725,,,,1.0,4.0,2.0025069284855466,4.0
RQ1,DQN,VWAP,normal,window,80,-2.14688885834581,-6.105958731353957,2.116328710309081,0.08684608859612548,0.6,,,
RQ1,DQN,VWAP,normal,seed,4,-2.14688885834581,,,,0.75,4.0,3.9105357297436982,3.0
RQ1,DQN,VWAP,regime_transition,window,80,0.9424645046798539,-5.881778403054531,8.050538062128618,0.9961731311725914,0.4625,,,
RQ1,DQN,VWAP,regime_transition,seed,4,0.9424645046798532,,,,0.25,4.0,9.59606256668746,1.0
RQ1,DQN,VWAP,stress,window,80,151.7043588926559,112.89251983236834,197.40572038970421,5.687495120325758e-11,0.2125,,,
