rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,DQN,TWAP,ALL,window,900,0.5028159183748743,-0.42917617836196914,1.48390505076286,0.08494989761624383,0.5444444444444444,,,
RQ1,DQN,TWAP,ALL,seed,5,0.5028159183748743,,,,0.6,5.0,2.06759000390174,3.0
RQ1,DQN,TWAP,high_volatility,window,150,-0.6237110773434577,-2.6112636488077565,1.3873607017926266,0.8725514367997268,0.4666666666666667,,,
RQ1,DQN,TWAP,high_volatility,seed,5,-0.6237110773434573,,,,0.6,5.0,2.277643400565806,3.0
RQ1,DQN,TWAP,liquidity_shock,window,150,1.10105522037708,-1.0527894272013125,4.056329778101702,0.27033531391877563,0.5666666666666667,,,
RQ1,DQN,TWAP,liquidity_shock,seed,5,1.1010552203770798,,,,0.2,5.0,2.106741980051091,1.0
RQ1,DQN,TWAP,low_liquidity,window,150,0.8537323937509427,-1.07971007459987,4.032132544073117,0.004623131010415406,0.6066666666666667,,,
RQ1,DQN,TWAP,low_liquidity,seed,5,0.8537323937509422,,,,0.8,5.0,2.9744963976229886,4.0
RQ1,DQN,TWAP,normal,window,150,-0.6084696855851598,-1.4104123238786137,0.21135259631127915,0.0009123310388481137,0.6533333333333333,,,
RQ1,DQN,TWAP,normal,seed,5,-0.6084696855851598,,,,0.8,5.0,0.8128725248383027,4.0
RQ1,DQN,TWAP,regime_transition,window,150,3.24608142864984,0.5686023445215805,6.008576234316368,0.1728547841247945,0.48,,,
RQ1,DQN,TWAP,regime_transition,seed,5,3.246081428649841,,,,0.2,5.0,5.228488706246371,1.0
RQ1,DQN,TWAP,stress,window,150,-0.9517927696000004,-3.5113938462450207,1.5864627465564651,0.6370165638980323,0.49333333333333335,,,
RQ1,DQN,TWAP,stress,seed,5,-0.9517927696000001,,,,0.8,5.0,2.441587868644505,4.0
RQ1,DQN,TWAP,TURBULENT,window,600,0.6929082005208657,-0.5381300320299769,2.041929807191021,0.9204927864427173,0.5016666666666667,,,
RQ1,DQN,TWAP,TURBULENT,seed,5,0.6929082005208658,,,,0.6,5.0,2.422467724882761,3.0
RQ1,DQN,VWAP,ALL,window,900,0.5967918454222609,-0.337008353556626,1.5857486982145663,0.1621674101694477,0.5366666666666666,,,
RQ1,DQN,VWAP,ALL,seed,5,0.5967918454222608,,,,0.6,5.0,2.1024185608979504,3.0
RQ1,DQN,VWAP,high_volatility,window,150,-0.47448871551821603,-2.4441788050879083,1.515918044569426,0.9618404847157914,0.46,,,
RQ1,DQN,VWAP,high_volatility,seed,5,-0.4744887155182159,,,,0.6,5.0,2.2269159688360776,3.0
RQ1,DQN,VWAP,liquidity_shock,window,150,1.0972904265739134,-1.0537889512249503,4.010700634089356,0.26952073073857985,0.58,,,
RQ1,DQN,VWAP,liquidity_shock,seed,5,1.0972904265739136,,,,0.2,5.0,2.103048828750129,1.0
RQ1,DQN,VWAP,low_liquidity,window,150,0.8250441984853376,-1.0934301049124744,3.944065720881204,0.004436722123039586,0.6066666666666667,,,
RQ1,DQN,VWAP,low_liquidity,seed,5,0.8250441984853374,,,,0.8,5.0,2.9867438434105504,4.0
RQ1,DQN,VWAP,normal,window,150,-0.6360393917818807,-1.4176727502226982,0.18885372718281446,0.0005023764048438499,0.64,,,
RQ1,DQN,VWAP,normal,seed,5,-0.6360393917818807,,,,0.8,5.0,0.8269340362593284,4.0
RQ1,DQN,VWAP,regime_transition,window,150,3.4868133396738434,0.8437136326339876,6.243577924028962,0.10888021327892276,0.46,,,
RQ1,DQN,VWAP,regime_transition,seed,5,3.486813339673843,,,,0.0,5.0,5.119933283243857,0.0
RQ1,DQN,VWAP,stress,window,150,-0.7178687848994321,-3.3260894216259005,1.8542040127524693,0.7964200826022564,0.47333333333333333,,,
RQ1,DQN,VWAP,stress,seed,5,-0.7178687848994325,,,,0.6,5.0,2.5379962756639936,3.0
RQ1,DQN,VWAP,TURBULENT,window,600,0.8479365664575272,-0.37605754668817853,2.180327501532096,0.6392859675540683,0.49333333333333335,,,
RQ1,DQN,VWAP,TURBULENT,seed,5,0.8479365664575272,,,,0.6,5.0,2.46830139596724,3.0
RQ1,DQN,POV,ALL,window,900,3.010314577068375,0.8643759291905591,5.314165747504782,0.2354531581342194,0.49777777777777776,,,
RQ1,DQN,POV,ALL,seed,5,3.0103145770683746,,,,0.2,5.0,5.8990565065475495,1.0
RQ1,DQN,POV,high_volatility,window,150,3.1195409077476968,-2.6699606068536665,8.733991764748966,0.4535211521324053,0.4533333333333333,,,
RQ1,DQN,POV,high_volatility,seed,5,3.119540907747697,,,,0.4,5.0,8.301481954139216,2.0
RQ1,DQN,POV,liquidity_shock,window,150,2.437736634637238,-0.7671145465014388,7.02798679556078,0.888833941331299,0.5,,,
RQ1,DQN,POV,liquidity_shock,seed,5,2.437736634637238,,,,0.4,5.0,4.126421490044619,2.0
RQ1,DQN,POV,low_liquidity,window,150,2.1909668648467417,-1.2792862828276448,7.055248261363714,0.8977355691916733,0.5266666666666666,,,
RQ1,DQN,POV,low_liquidity,seed,5,2.1909668648467417,,,,0.6,5.0,4.890135597624813,3.0
RQ1,DQN,POV,normal,window,150,0.7594944720990187,-1.5100311592819626,3.0772540943868267,0.8917996500941634,0.5666666666666667,,,
RQ1,DQN,POV,normal,seed,5,0.7594944720990184,,,,0.2,5.0,1.9728303881912375,1.0
RQ1,DQN,POV,regime_transition,window,150,6.656269594913569,-0.8246854445488203,13.892744694555345,0.23831197256070002,0.4533333333333333,,,
RQ1,DQN,POV,regime_transition,seed,5,6.65626959491357,,,,0.2,5.0,10.666460311402789,1.0
RQ1,DQN,POV,stress,window,150,2.897878988165984,-4.472449941400126,9.478714998942532,0.466051188793567,0.4866666666666667,,,
RQ1,DQN,POV,stress,seed,5,2.897878988165984,,,,0.2,5.0,7.180584944022005,1.0
RQ1,DQN,POV,TURBULENT,window,600,3.777856531366122,0.7950220867928441,6.781885672411726,0.1442899241835907,0.47333333333333333,,,
RQ1,DQN,POV,TURBULENT,seed,5,3.7778565313661217,,,,0.2,5.0,7.252706269550464,1.0
