rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,DQN,TWAP,ALL,window,63,-0.9317244438187872,-3.2757895571608415,1.2206978469818888,0.041002999217267584,0.6349206349206349,,,
RQ1,DQN,TWAP,ALL,seed,1,-0.9317244438187873,,,,1.0,1.0,,1.0
RQ1,DQN,TWAP,aapl_real,window,63,-0.9317244438187872,-3.2757895571608415,1.2206978469818888,0.041002999217267584,0.6349206349206349,,,
RQ1,DQN,TWAP,aapl_real,seed,1,-0.9317244438187873,,,,1.0,1.0,,1.0
RQ1,DQN,VWAP,ALL,window,63,-0.5301209011426262,-2.1888305426053125,1.2032862721636446,0.0643763095019019,0.6190476190476191,,,
RQ1,DQN,VWAP,ALL,seed,1,-0.530120901142626,,,,1.0,1.0,,1.0
RQ1,DQN,VWAP,aapl_real,window,63,-0.5301209011426262,-2.1888305426053125,1.2032862721636446,0.0643763095019019,0.6190476190476191,,,
RQ1,DQN,VWAP,aapl_real,seed,1,-0.530120901142626,,,,1.0,1.0,,1.0
RQ1,DQN,POV,ALL,window,63,0.07548847613828863,-2.5067623537746306,2.1793443107920947,0.09634996017007706,0.31746031746031744,,,
RQ1,DQN,POV,ALL,seed,1,0.07548847613828863,,,,0.0,1.0,,0.0
RQ1,DQN,POV,aapl_real,window,63,0.07548847613828863,-2.5067623537746306,2.1793443107920947,0.09634996017007706,0.31746031746031744,,,
RQ1,DQN,POV,aapl_real,seed,1,0.07548847613828863,,,,0.0,1.0,,0.0
RQ1,PPO,TWAP,ALL,window,63,-1.8285925548773159,-5.29346857502917,1.449777134170045,0.024792704972604745,0.6349206349206349,,,
RQ1,PPO,TWAP,ALL,seed,1,-1.828592554877316,,,,1.0,1.0,,1.0
RQ1,PPO,TWAP,aapl_real,window,63,-1.8285925548773159,-5.29346857502917,1.449777134170045,0.024792704972604745,0.6349206349206349,,,
RQ1,PPO,TWAP,aapl_real,seed,1,-1.828592554877316,,,,1.0,1.0,,1.0
RQ1,PPO,VWAP,ALL,window,63,-1.4269890122011542,-4.071309147335118,1.3229375283304048,0.028211121894611224,0.6190476190476191,,,
RQ1,PPO,VWAP,ALL,seed,1,-1.4269890122011544,,,,1.0,1.0,,1.0
RQ1,PPO,VWAP,aapl_real,window,63,-1.4269890122011542,-4.071309147335118,1.3229375283304048,0.028211121894611224,0.6190476190476191,,,
RQ1,PPO,VWAP,aapl_real,seed,1,-1.4269890122011544,,,,1.0,1.0,,1.0
RQ1,PPO,POV,ALL,window,63,-0.82137963492024,-2.2819884132234654,0.2733718765717737,0.16024958426138047,0.5873015873015873,,,
RQ1,PPO,POV,ALL,seed,1,-0.8213796349202399,,,,1.0,1.0,,1.0
RQ1,PPO,POV,aapl_real,window,63,-0.82137963492024,-2.2819884132234654,0.2733718765717737,0.16024958426138047,0.5873015873015873,,,
RQ1,PPO,POV,aapl_real,seed,1,-0.8213796349202399,,,,1.0,1.0,,1.0
RQ1,Regime-Aware DQN,TWAP,ALL,window,63,-1.3656543957208125,-3.8184062560168384,1.2085003927997275,0.008476219617653779,0.6349206349206349,,,
RQ1,Regime-Aware DQN,TWAP,ALL,seed,1,-1.365654395720813,,,,1.0,1.0,,1.0
RQ1,Regime-Aware DQN,TWAP,aapl_real,window,63,-1.3656543957208125,-3.8184062560168384,1.2085003927997275,0.008476219617653779,0.6349206349206349,,,
RQ1,Regime-Aware DQN,TWAP,aapl_real,seed,1,-1.365654395720813,,,,1.0,1.0,,1.0
RQ1,Regime-Aware DQN,VWAP,ALL,window,63,-0.9640508530446515,-2.7396432691720918,1.160801613569848,0.023005187032160142,0.6666666666666666,,,
RQ1,Regime-Aware DQN,VWAP,ALL,seed,1,-0.9640508530446515,,,,1.0,1.0,,1.0
RQ1,Regime-Aware DQN,VWAP,aapl_real,window,63,-0.9640508530446515,-2.7396432691720918,1.160801613569848,0.023005187032160142,0.6666666666666666,,,
RQ1,Regime-Aware DQN,VWAP,aapl_real,seed,1,-0.9640508530446515,,,,1.0,1.0,,1.0
RQ1,Regime-Aware DQN,POV,ALL,window,63,-0.35844147576373697,-3.0489946120964557,2.045004634904525,0.35601415009015913,0.6031746031746031,,,
RQ1,Regime-Aware DQN,POV,ALL,seed,1,-0.35844147576373686,,,,1.0,1.0,,1.0
RQ1,Regime-Aware DQN,POV,aapl_real,window,63,-0.35844147576373697,-3.0489946120964557,2.045004634904525,0.35601415009015913,0.6031746031746031,,,
RQ1,Regime-Aware DQN,POV,aapl_real,seed,1,-0.35844147576373686,,,,1.0,1.0,,1.0
RQ1,Regime-Aware PPO,TWAP,ALL,window,63,-1.800232668061256,-4.403648208775936,0.9634165134009236,0.0069939484957850795,0.6190476190476191,,,
RQ1,Regime-Aware PPO,TWAP,ALL,seed,1,-1.800232668061256,,,,1.0,1.0,,1.0
RQ1,Regime-Aware PPO,TWAP,aapl_real,window,63,-1.800232668061256,-4.403648208775936,0.9634165134009236,0.0069939484957850795,0.6190476190476191,,,
RQ1,Regime-Aware PPO,TWAP,aapl_real,seed,1,-1.800232668061256,,,,1.0,1.0,,1.0
RQ1,Regime-Aware PPO,VWAP,ALL,window,63,-1.3986291253850949,-3.7146333506198497,1.0634655508948756,0.022154178911160245,0.6190476190476191,,,
RQ1,Regime-Aware PPO,VWAP,ALL,seed,1,-1.3986291253850947,,,,1.0,1.0,,1.0
RQ1,Regime-Aware PPO,VWAP,aapl_real,window,63,-1.3986291253850949,-3.7146333506198497,1.0634655508948756,0.022154178911160245,0.6190476190476191,,,
RQ1,Regime-Aware PPO,VWAP,aapl_real,seed,1,-1.3986291253850947,,,,1.0,1.0,,1.0
